6773 $PQFLP,W,1,0*21
$GPRMC,235942.800,V,,,,,0.00,0.00,050180,,,N*42

2798 $GPRMC,235943.800,V,,,,,0.00,0.00,050180,,,N*43
$GPGGA,235943.800,,,,,0,0,,,M,,M,,*4A

3798 $GPRMC,235944.799,V,,,,,0.00,0.00,050180,,,N*4B
$GPGGA,235944.799,,,,,0,0,,,M,,M,,*42

4796 $GPRMC,235945.799,V,,,,,0.00,0.00,050180,,,N*4A
$GPGGA,235945.799,,,,,0,0,,,M,,M,,*43

---TICK-TAG---
***START MEMORY***
UVs: 253, TOs: 0/0, ErrorsOrGF: 1, TTFF: 74
Fixes: 2113, Avg. time to fix: 0 s, Avg. HDOP (x10): 10

count,timestamp,lat,lon
358,1645633537,47.74307,8.99896
359,1645633542,47.74307,8.99896
360,1645633547,47.74307,8.99896
361,1645633552,47.74307,8.99896
362,1645633557,47.74307,8.99896
363,1645633562,47.74307,8.99896
364,1645633567,47.74307,8.99896
365,1645633572,47.74307,8.99896
366,1645633577,47.74307,8.99896
367,1645633582,47.74306,8.99896
368,1645633587,47.74306,8.99896
369,1645633592,47.74305,8.99895
370,1645633597,47.74305,8.99895
371,1645633602,47.74304,8.99895
372,1645633607,47.74304,8.99895
373,1645633612,47.74304,8.99894
374,1645633617,47.74303,8.99894
375,1645633622,47.74303,8.99894
376,1645633627,47.74303,8.99893
377,1645633632,47.74303,8.99893
378,1645633637,47.74303,8.99893
379,1645633642,47.74303,8.99893
380,1645633647,47.74304,8.99893
381,1645633652,47.74304,8.99892
382,1645633657,47.74304,8.99892
383,1645633662,47.74304,8.99893
384,1645633667,47.74304,8.99893
385,1645633672,47.74305,8.99893
386,1645633677,47.74306,8.99894
387,1645633682,47.74306,8.99894
388,1645633687,47.74306,8.99894
389,1645633692,47.74306,8.99894
390,1645633697,47.74305,8.99894
391,1645633702,47.74306,8.99894
392,1645633707,47.74306,8.99894
393,1645633712,47.74306,8.99893
394,1645633717,47.74306,8.99893
395,1645633722,47.74306,8.99893
396,1645633727,47.74306,8.99893
397,1645633732,47.74306,8.99893
398,1645633737,47.74306,8.99893
399,1645633742,47.74306,8.99893
400,1645633747,47.74306,8.99893
401,1645633752,47.74306,8.99892
402,1645633757,47.74307,8.99892
403,1645633762,47.74307,8.99892
404,1645633767,47.74306,8.99892
405,1645633772,47.74306,8.99892
406,1645633777,47.74306,8.99892
407,1645633782,47.74307,8.99892
408,1645633787,47.74307,8.99892
409,1645633792,47.74307,8.99893
410,1645633797,47.74307,8.99895
411,1645633802,47.74307,8.99895
412,1645633807,47.74307,8.99895
413,1645633812,47.74306,8.99895
414,1645633817,47.74306,8.99894
415,1645633822,47.74306,8.99894
416,1645633827,47.74306,8.99894
417,1645633832,47.74306,8.99894
418,1645633837,47.74307,8.99894
419,1645633842,47.74306,8.99894
420,1645633847,47.74306,8.99894
421,1645633852,47.74306,8.99894
422,1645633857,47.74306,8.99894
423,1645633862,47.74306,8.99894
424,1645633867,47.74307,8.99894
425,1645633872,47.74307,8.99893
426,1645633877,47.74307,8.99893
427,1645633882,47.74307,8.99893
428,1645633887,47.74307,8.99893
429,1645633892,47.74307,8.99893
430,1645633897,47.74307,8.99892
431,1645633902,47.74306,8.99892
432,1645633907,47.74306,8.99892
433,1645633912,47.74306,8.99892
434,1645633917,47.74307,8.99892
435,1645633922,47.74306,8.99892
436,1645633927,47.74306,8.99892
437,1645633932,47.74306,8.99892
438,1645633937,47.74306,8.99891
439,1645633942,47.74306,8.99891
440,1645633947,47.74306,8.99890
441,1645633952,47.74305,8.99890
442,1645633957,47.74306,8.99890
443,1645633962,47.74305,8.99890
444,1645633967,47.74306,8.99890
445,1645633972,47.74306,8.99890
446,1645633977,47.74306,8.99891
447,1645633982,47.74306,8.99890
448,1645633987,47.74306,8.99890
449,1645633992,47.74305,8.99890
450,1645633997,47.74306,8.99890
451,1645634002,47.74307,8.99891
452,1645634007,47.74307,8.99891
453,1645634012,47.74307,8.99891
454,1645634017,47.74307,8.99891
455,1645634022,47.74308,8.99891
456,1645634027,47.74308,8.99891
457,1645634032,47.74308,8.99890
458,1645634037,47.74308,8.99891
459,1645634042,47.74308,8.99890
460,1645634047,47.74308,8.99890
461,1645634052,47.74308,8.99890
462,1645634057,47.74308,8.99891
463,1645634062,47.74308,8.99891
464,1645634067,47.74309,8.99891
465,1645634072,47.74309,8.99891
466,1645634077,47.74309,8.99891
467,1645634082,47.74309,8.99891
468,1645634087,47.74309,8.99891
469,1645634092,47.74310,8.99891
470,1645634097,47.74309,8.99891
471,1645634102,47.74309,8.99892
472,1645634107,47.74308,8.99892
473,1645634112,47.74308,8.99892
474,1645634117,47.74308,8.99892
475,1645634122,47.74308,8.99892
476,1645634127,47.74307,8.99892
477,1645634132,47.74307,8.99892
478,1645634137,47.74307,8.99893
479,1645634142,47.74308,8.99893
480,1645634147,47.74308,8.99893
481,1645634152,47.74308,8.99893
482,1645634157,47.74307,8.99892
483,1645634162,47.74308,8.99892
484,1645634167,47.74308,8.99893
485,1645634172,47.74308,8.99893
486,1645634177,47.74308,8.99893
487,1645634182,47.74308,8.99893
488,1645634187,47.74308,8.99893
489,1645634192,47.74308,8.99893
490,1645634197,47.74308,8.99892
491,1645634202,47.74308,8.99891
492,1645634207,47.74308,8.99891
493,1645634212,47.74308,8.99890
494,1645634217,47.74307,8.99890
495,1645634222,47.74308,8.99890
496,1645634227,47.74308,8.99889
497,1645634232,47.74308,8.99890
498,1645634237,47.74308,8.99890
499,1645634242,47.74308,8.99890
500,1645634247,47.74308,8.99890
501,1645634252,47.74308,8.99891
502,1645634257,47.74308,8.99891
503,1645634262,47.74308,8.99892
504,1645634267,47.74308,8.99893
505,1645634272,47.74308,8.99893
506,1645634277,47.74309,8.99894
507,1645634282,47.74309,8.99894
508,1645634287,47.74309,8.99894
509,1645634292,47.74309,8.99894
510,1645634297,47.74309,8.99894
511,1645634302,47.74308,8.99894
512,1645634307,47.74308,8.99895
513,1645634312,47.74308,8.99894
514,1645634317,47.74308,8.99894
515,1645634322,47.74308,8.99894
516,1645634327,47.74308,8.99894
517,1645634332,47.74308,8.99894
518,1645634337,47.74307,8.99894
519,1645634342,47.74307,8.99895
520,1645634347,47.74307,8.99895
521,1645634352,47.74306,8.99895
522,1645634357,47.74306,8.99895
523,1645634362,47.74306,8.99895
524,1645634367,47.74305,8.99896
525,1645634372,47.74304,8.99896
526,1645634377,47.74304,8.99897
527,1645634382,47.74303,8.99897
528,1645634387,47.74303,8.99897
529,1645634392,47.74302,8.99898
530,1645634397,47.74302,8.99898
531,1645634402,47.74302,8.99898
532,1645634407,47.74301,8.99899
533,1645634412,47.74300,8.99900
534,1645634417,47.74300,8.99900
535,1645634422,47.74300,8.99900
536,1645634427,47.74300,8.99900
537,1645634432,47.74300,8.99900
538,1645634437,47.74299,8.99900
539,1645634442,47.74299,8.99900
540,1645634447,47.74299,8.99900
541,1645634452,47.74300,8.99900
542,1645634457,47.74300,8.99900
543,1645634462,47.74301,8.99901
544,1645634467,47.74301,8.99901
545,1645634472,47.74302,8.99901
546,1645634477,47.74301,8.99900
547,1645634482,47.74301,8.99900
548,1645634487,47.74301,8.99900
549,1645634492,47.74301,8.99901
550,1645634497,47.74301,8.99901
551,1645634502,47.74300,8.99901
552,1645634507,47.74300,8.99901
553,1645634512,47.74300,8.99901
554,1645634517,47.74300,8.99901
555,1645634522,47.74300,8.99901
556,1645634527,47.74299,8.99901
557,1645634532,47.74299,8.99901
558,1645634537,47.74299,8.99901
559,1645634542,47.74298,8.99901
560,1645634547,47.74298,8.99901
561,1645634552,47.74298,8.99902
562,1645634557,47.74298,8.99902
563,1645634562,47.74298,8.99902
564,1645634567,47.74298,8.99902
565,1645634572,47.74298,8.99901
566,1645634577,47.74299,8.99901
567,1645634582,47.74299,8.99901
568,1645634587,47.74299,8.99901
569,1645634592,47.74299,8.99901
570,1645634597,47.74299,8.99901
571,1645634602,47.74300,8.99901
572,1645634607,47.74301,8.99900
573,1645634612,47.74301,8.99900
574,1645634617,47.74302,8.99900
575,1645634622,47.74301,8.99900
576,1645634627,47.74302,8.99900
577,1645634632,47.74302,8.99900
578,1645634637,47.74302,8.99901
579,1645634642,47.74302,8.99901
580,1645634647,47.74302,8.99901
581,1645634652,47.74303,8.99901
582,1645634657,47.74303,8.99901
583,1645634662,47.74303,8.99901
584,1645634667,47.74303,8.99901
585,1645634672,47.74303,8.99901
586,1645634677,47.74303,8.99901
587,1645634682,47.74303,8.99901
588,1645634687,47.74302,8.99900
589,1645634692,47.74302,8.99900
590,1645634697,47.74302,8.99900
591,1645634702,47.74302,8.99900
592,1645634707,47.74301,8.99901
593,1645634712,47.74301,8.99901
594,1645634717,47.74301,8.99900
595,1645634722,47.74301,8.99900
596,1645634727,47.74300,8.99900
597,1645634732,47.74300,8.99900
598,1645634737,47.74300,8.99900
599,1645634742,47.74300,8.99900
600,1645634747,47.74300,8.99900
601,1645634752,47.74301,8.99900
602,1645634757,47.74301,8.99899
603,1645634762,47.74301,8.99899
604,1645634767,47.74302,8.99899
605,1645634772,47.74302,8.99899
606,1645634777,47.74302,8.99899
607,1645634782,47.74302,8.99899
608,1645634787,47.74302,8.99900
609,1645634792,47.74303,8.99899
610,1645634797,47.74303,8.99900
611,1645634802,47.74303,8.99900
612,1645634807,47.74303,8.99900
613,1645634812,47.74303,8.99900
614,1645634817,47.74304,8.99900
615,1645634822,47.74304,8.99900
616,1645634827,47.74304,8.99899
617,1645634832,47.74304,8.99899
618,1645634837,47.74303,8.99898
619,1645634842,47.74303,8.99898
620,1645634847,47.74304,8.99898
621,1645634852,47.74304,8.99898
622,1645634857,47.74304,8.99897
623,1645634862,47.74304,8.99897
624,1645634867,47.74305,8.99897
625,1645634872,47.74305,8.99897
626,1645634877,47.74304,8.99898
627,1645634882,47.74304,8.99898
628,1645634887,47.74304,8.99898
629,1645634892,47.74303,8.99899
630,1645634897,47.74303,8.99899
631,1645634902,47.74303,8.99899
632,1645634907,47.74303,8.99899
633,1645634912,47.74304,8.99899
634,1645634917,47.74304,8.99898
635,1645634922,47.74305,8.99898
636,1645634927,47.74305,8.99897
637,1645634932,47.74306,8.99897
638,1645634937,47.74306,8.99896
639,1645634942,47.74307,8.99896
640,1645634947,47.74307,8.99896
641,1645634952,47.74307,8.99896
642,1645634957,47.74307,8.99896
643,1645634962,47.74307,8.99896
644,1645634967,47.74307,8.99897
645,1645634972,47.74306,8.99896
646,1645634977,47.74307,8.99897
647,1645634982,47.74307,8.99896
648,1645634987,47.74307,8.99896
649,1645634992,47.74307,8.99897
650,1645634997,47.74307,8.99896
651,1645635002,47.74308,8.99896
652,1645635007,47.74308,8.99896
653,1645635012,47.74308,8.99895
654,1645635017,47.74309,8.99895
655,1645635022,47.74310,8.99894
656,1645635027,47.74310,8.99894
657,1645635032,47.74310,8.99894
658,1645635037,47.74310,8.99894
659,1645635042,47.74309,8.99895
660,1645635047,47.74309,8.99895
661,1645635052,47.74309,8.99895
662,1645635057,47.74309,8.99895
663,1645635062,47.74308,8.99895
664,1645635067,47.74308,8.99895
665,1645635072,47.74308,8.99895
666,1645635077,47.74308,8.99895
667,1645635082,47.74307,8.99896
668,1645635087,47.74307,8.99896
669,1645635092,47.74307,8.99896
670,1645635097,47.74306,8.99896
671,1645635102,47.74305,8.99896
672,1645635107,47.74305,8.99897
673,1645635112,47.74305,8.99897
674,1645635117,47.74305,8.99897
675,1645635122,47.74303,8.99899
676,1645635127,47.74302,8.99898
677,1645635132,47.74302,8.99898
678,1645635137,47.74302,8.99898
679,1645635142,47.74302,8.99898
680,1645635147,47.74301,8.99899
681,1645635152,47.74302,8.99898
682,1645635157,47.74302,8.99899
683,1645635162,47.74302,8.99899
684,1645635167,47.74302,8.99899
685,1645635172,47.74302,8.99899
686,1645635177,47.74302,8.99899
687,1645635182,47.74302,8.99899
688,1645635187,47.74303,8.99898
689,1645635192,47.74303,8.99898
690,1645635197,47.74304,8.99897
691,1645635202,47.74304,8.99897
692,1645635207,47.74304,8.99897
693,1645635212,47.74304,8.99897
694,1645635217,47.74304,8.99897
695,1645635222,47.74304,8.99897
696,1645635227,47.74304,8.99897
697,1645635232,47.74305,8.99897
698,1645635237,47.74305,8.99897
699,1645635242,47.74305,8.99897
700,1645635247,47.74306,8.99896
701,1645635252,47.74306,8.99896
702,1645635257,47.74307,8.99896
703,1645635262,47.74307,8.99896
704,1645635267,47.74307,8.99896
705,1645635272,47.74307,8.99896
706,1645635277,47.74306,8.99897
707,1645635282,47.74306,8.99896
708,1645635287,47.74306,8.99896
709,1645635292,47.74306,8.99897
710,1645635297,47.74306,8.99897
711,1645635302,47.74305,8.99897
712,1645635307,47.74304,8.99898
713,1645635312,47.74305,8.99898
714,1645635317,47.74305,8.99898
715,1645635322,47.74305,8.99898
716,1645635327,47.74305,8.99898
717,1645635332,47.74305,8.99898
718,1645635337,47.74305,8.99898
719,1645635342,47.74305,8.99899
720,1645635347,47.74304,8.99899
721,1645635352,47.74304,8.99899
722,1645635357,47.74304,8.99899
723,1645635362,47.74304,8.99899
724,1645635367,47.74304,8.99898
725,1645635372,47.74305,8.99898
726,1645635377,47.74305,8.99898
727,1645635382,47.74305,8.99897
728,1645635387,47.74305,8.99897
729,1645635392,47.74305,8.99897
730,1645635397,47.74305,8.99897
731,1645635402,47.74305,8.99897
732,1645635407,47.74306,8.99897
733,1645635412,47.74305,8.99896
734,1645635417,47.74305,8.99896
735,1645635422,47.74305,8.99897
736,1645635427,47.74305,8.99897
